Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Material,Fastening,Sole Material,Occasion,Warranty
Roadster,The Lifestyle Co Men Comfort Sandals,₹878,MRP ₹2929,(70% OFF),4,9 Ratings,"Off-white solid comfort sandals, secured with a slip-on closure
Faux Leather upper
Cushioned footbed
PU outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
Roadster,Men Green Sandals,₹539,MRP ₹1799,(70% OFF),3.3,8 Ratings,"Step into comfort and style with Roadster Sandals. Featuring a durable synthetic upper and a sturdy rubber sole, these sandals offer a secure fit with their easy-to-use Velcro closure. Perfect for any casual outing, they combine functionality and fashion effortlessly.",Comfort Sandals,Synthetic,Velcro,Rubber,Daily,
El Paso,Men Comfort Sandals With Buckle,₹839,MRP ₹2999,(72% OFF),3.2,15 Ratings,"A pair of olive green comfort sandals with buckle
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,3 months
Roadster,The Lifestyle Co Men Comfort Sandals,₹998,MRP ₹2495,(60% OFF),3.2,10 Ratings,"Black comfort sandals, secured with a buckle closure
Synthetic upper
Cushioned footbed
Textured and patterned PU outsole",Comfort Sandals,Synthetic,Buckle,PU,Casual,
Mochi,Men Brown Sandals,₹1094,MRP ₹1990,(45% OFF),4,191 Ratings,"A pair of brown comfort sandals
Leather upper with slip-on closure
Cushioned footbed
Patterned tpr outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Comfort Sandals,Leather,Slip-On,TPR,Ethnic,1 month
El Paso,Men Comfort Sandals,₹849,MRP ₹3995,(Rs. 3146 OFF),3.7,1.1k Ratings,"A pair of brown comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,3 months
Liberty,Men Comfort Sandals,₹1139,MRP ₹1999,(43% OFF),4.1,117 Ratings,"A pair of brown comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Slip-On,PU,Daily,1 month
Roadster,Men Tan Sandals,₹749,MRP ₹2499,(70% OFF),3.8,6 Ratings,"Experience ultimate comfort and style with Roadster sandals. Featuring a convenient Velcro closure, these sandals have a durable synthetic upper and a lightweight phylon sole, ensuring a perfect blend of support and flexibility for all-day wear.",Comfort Sandals,Synthetic,Velcro,Phylon,Daily,
AfroJack,Men Comfort Sandals,₹1199,MRP ₹5995,(80% OFF),4.3,10 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Slip-On,PU,Daily,1 month
El Paso,Men Comfort Sandals With Buckle,₹839,MRP ₹2999,(72% OFF),3.8,71 Ratings,"A pair of blue comfort sandals with buckle
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,3 months
Liberty,Men Comfort Sandals,₹1165,MRP ₹2199,(47% OFF),4.2,51 Ratings,"A pair of brown comfort sandals
Pu upper with velcro closure
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Velcro,EVA,Daily,1 month
Liberty,Men Comfort Sandals,₹1143,MRP ₹2199,(48% OFF),4.2,51 Ratings,"A pair of tan brown comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Slip-On,PU,Daily,1 month
Rising Wolf,Men Fisherman Sandals,₹699,MRP ₹1999,(65% OFF),3.8,16 Ratings,"A pair of black comfort sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned tpr outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic,Velcro,TPR,Daily,1 month
Roadster,The Lifestyle Co Men Grey Sandals,₹849,MRP ₹1699,(50% OFF),4.1,497 Ratings,"A pair of grey comfort sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned tpr outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Comfort Sandals,Synthetic,Velcro,TPR,Daily,1 month
El Paso,Men Comfort Sandals With Buckle,₹839,MRP ₹2999,(72% OFF),2.6,7 Ratings,"A pair of olive green comfort sandals with buckle
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,3 months
MICHAEL ANGELO,Men Comfort Sandals,₹1274,MRP ₹1699,(25% OFF),3.9,8 Ratings,"A pair of tan comfort sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned rubber outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Buckle,Rubber,Daily,1 month
Metro,Men Comfort Sandals,₹1618,MRP ₹2490,(35% OFF),4.6,9 Ratings,"A pair of brown comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic,Slip-On,PU,Daily,1 month
SHENCES,Men Comfort Sandals,₹989,MRP ₹3299,(70% OFF),3.7,12 Ratings,"A pair of white comfort sandals, with slip-on closure
Synthetic suede upper 
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic Suede,Slip-On,TPR,Daily,
San Frissco,Men Comfort Sandals,₹808,MRP ₹2995,(73% OFF),4,14 Ratings,"A pair of brown comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,PU,Slip-On,Rubber,Daily,
WIXOM,Men Comfort Sandals,₹799,MRP ₹1999,(60% OFF),5,5 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with velcro closure
Cushioned footbed
Patterned synthetic outsole",Comfort Sandals,Synthetic Leather,Velcro,Synthetic,Daily,
MICHAEL ANGELO,Men Comfort Sandals,₹1169,MRP ₹1299,(10% OFF),4.2,12 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with velcro closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Velcro,PU,Daily,1 month
Florsheim,Men Brown Sandals,₹1347,MRP ₹2995,(55% OFF),4.1,11 Ratings,"A pair of brown comfort sandals
Leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Leather,Slip-On,PU,Daily,
Kosher,Men Comfort Sandals,₹985,MRP ₹3399,(71% OFF),3.9,11 Ratings,"A pair of navy blue comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic Leather,Slip-On,TPR,Daily,
Roadster,Men Sports Sandals,₹944,MRP ₹2699,(65% OFF),3.7,132 Ratings,"A pair of grey & off-white sports sandals, has drawstring closure
Synthetic upper
Cushioned footbed
Textured TPR outsole with patterned grooves
Warranty: 1 month
Warranty provided by Brand/Manufacturer",Sports Sandals,Synthetic,Buckle,Synthetic,Sports,
Provogue,Men Comfort Sandals,₹857,MRP ₹2859,(70% OFF),4,5 Ratings,"A pair of tan brown comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
LEONCINO,Men Comfort Sandals,₹809,MRP ₹3276,(Rs. 2467 OFF),4.3,153 Ratings,"A pair of black comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,
Provogue,Men Comfort Sandals,₹719,MRP ₹2999,(76% OFF),4,5 Ratings,"A pair of blue comfort sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned synthetic outsole",Comfort Sandals,Synthetic Leather,Buckle,Synthetic,Daily,
UNDERROUTE,Men Comfort Sandals,₹1039,MRP ₹3999,(74% OFF),3.3,6 Ratings,"A pair of black comfort sandals
Synthetic leather upper with velcro closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic Leather,Velcro,PU,Daily,
House of Pataudi,Men Fisherman Sandals,₹749,MRP ₹2999,(75% OFF),4.3,18 Ratings,"A pair of navy blue fisherman sandals
Synthetic upper with buckle closure
Cushioned footbed
Patterned tpr outsole",Fisherman Sandals,Synthetic,Buckle,TPR,Daily,
Metro,Men Comfort Sandals,₹1495,MRP ₹2990,(50% OFF),3.5,8 Ratings,"A pair of black comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic,Slip-On,PU,Daily,1 month
Prolific,Men Brown Sandals,₹853,MRP ₹4490,(81% OFF),3.9,174 Ratings,"A pair of brown fisherman sandals
Synthetic Leather upper with velcro closure
Cushioned footbed
Patterned tpr outsole",Fisherman Sandals,Synthetic Leather,Velcro,TPR,Daily,
Rising Wolf,Men Fisherman Sandals,₹749,MRP ₹2999,(75% OFF),4.5,10 Ratings,"A pair of black fisherman sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned synthetic outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Fisherman Sandals,Synthetic,Velcro,Synthetic,Daily,1 month
Layasa,Men Comfort Sandals,₹699,MRP ₹999,(30% OFF),4.6,7 Ratings,"A pair of tan comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic,Slip-On,TPR,Daily,
knoos,Men Fisherman Sandals,₹809,MRP ₹2999,(73% OFF),2.4,12 Ratings,"A pair of tan fisherman sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pvc outsole",Fisherman Sandals,Synthetic Leather,Slip-On,PVC,Daily,
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),3.6,38 Ratings,"A pair of navy blue comfort sandals
Synthetic upper 
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Slip-On,PU,Daily,
Rising Wolf,Men Fisherman Sandals,₹699,MRP ₹1999,(65% OFF),3.8,16 Ratings,"A pair of brown fisherman sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned tpr outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Fisherman Sandals,Synthetic,Velcro,TPR,Daily,1 month
Rising Wolf,Men Comfort Sandals,₹519,MRP ₹1999,(74% OFF),3.2,6 Ratings,"A pair of tan comfort sandals, with velcro closure
Pu upper 
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,PU,Velcro,Rubber,Daily,
CODE by Lifestyle,Men Comfort Sandals,₹1039,MRP ₹1299,(20% OFF),3.8,61 Ratings,"A pair of black comfort sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned synthetic outsole",Comfort Sandals,Synthetic,Velcro,Synthetic,Ethnic,
MICHAEL ANGELO,Men Comfort Sandals,₹1169,MRP ₹1299,(10% OFF),4.2,12 Ratings,"A pair of black comfort sandals
Synthetic leather upper with velcro closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Velcro,PU,Daily,1 month
San Frissco,Men Comfort Sandals,₹1348,MRP ₹4495,(70% OFF),3.6,33 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,PU,Slip-On,PU,Daily,
MOZAFIA,Men Comfort Sandals,₹1099,MRP ₹2499,(56% OFF),3.6,19 Ratings,"A pair of brown comfort sandals with slip-on closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,PU,Slip-On,EVA,Daily,
MOZAFIA,Men Comfort Sandals,₹1099,MRP ₹2499,(56% OFF),3.5,20 Ratings,"A pair of black comfort sandals with slip-on closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,PU,Slip-On,EVA,Daily,
SOFTIO,Men Tan Sandals,₹979,MRP ₹3499,(72% OFF),3.8,5 Ratings,Presenting this amazing pair of attractive and appealing sandals from the house of Softio. These are made up of high quality synthetic material and PU sole. Pair these stylish sandals with your Shirt & Trousers or Jeans & T-shirts for that perfect look.,Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,3 months
One8,Men Comfort Sandals,₹989,MRP ₹1099,(10% OFF),3.9,12 Ratings,"A pair of tan comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic Leather,Slip-On,TPR,Daily,
John Karsun,Men Black Sandals,₹889,MRP ₹4449,(80% OFF),4,240 Ratings,"A pair of black clogs
Synthetic Leather upper with slip-on closure
Cushioned footbed
Patterned tpr outsole",Clogs,Synthetic Leather,Slip-On,TPR,Daily,
Liberty,Men Comfort Sandals,₹1379,MRP ₹2999,(54% OFF),4,9 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Slip-On,PU,Daily,1 month
John Karsun,Men Black Sandals,₹749,MRP ₹3749,(80% OFF),4.1,57 Ratings,"A pair of black comfort sandals
Leather upper with velcro closure
Cushioned footbed
Patterned synthetic outsole",Comfort Sandals,Leather,Velcro,Synthetic,Daily,
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4.2,194 Ratings,"A pair of white comfort sandals
Synthetic upper
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Slip-On,PU,Daily,
Kosher,Men Comfort Sandals,₹985,MRP ₹3399,(71% OFF),4.2,13 Ratings,"A pair of tan comfort sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic Leather,Buckle,TPR,Daily,
Kosher,Men Comfort Sandals,₹985,MRP ₹3399,(71% OFF),4,6 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic Leather,Slip-On,TPR,Daily,
MOZAFIA,Men Comfort Sandals,₹1099,MRP ₹2499,(56% OFF),3.9,40 Ratings,"A pair of brown comfort sandals with slip-on closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,PU,Slip-On,EVA,Daily,
San Frissco,Men Comfort Sandals,₹1348,MRP ₹4495,(70% OFF),4.2,5 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,PU,Slip-On,PU,Daily,
KARADDI,Men Comfort Sandals,₹879,MRP ₹1999,(56% OFF),4.1,58 Ratings,"A pair of black comfort sandals
Synthetic leather upper with velcro closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic Leather,Velcro,EVA,Daily,
Provogue,Men Comfort Sandals,₹878,MRP ₹2929,(70% OFF),3.1,15 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
LEONCINO,Men Comfort Sandals,₹919,MRP ₹3596,(Rs. 2677 OFF),3.7,24 Ratings,"A pair of green comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,
El Paso,Men Comfort Sandals,₹869,MRP ₹2899,(70% OFF),3.7,13 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
El Paso,Men Comfort Sandals,₹869,MRP ₹2899,(70% OFF),4.2,5 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with velcro closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Velcro,PU,Daily,3 months
John Karsun,Men Comfort Sandals,₹749,MRP ₹2999,(75% OFF),4.8,5 Ratings,"A pair of blue comfort sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned synthetic outsole",Comfort Sandals,Synthetic Leather,Buckle,Synthetic,Daily,
Provogue,Men Comfort Sandals,₹857,MRP ₹2859,(70% OFF),3.1,15 Ratings,"A pair of olive green comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
IMCOLUS,Men Comfort Sandals,₹839,MRP ₹1999,(58% OFF),3.7,15 Ratings,"A pair of brown comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,Synthetic,Slip-On,Rubber,Daily,
San Frissco,Men Comfort Sandals,₹808,MRP ₹2995,(73% OFF),4,14 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,PU,Slip-On,Rubber,Daily,
San Frissco,Men Comfort Sandals,₹808,MRP ₹2995,(73% OFF),4,14 Ratings,"A pair of tan brown comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,PU,Slip-On,Rubber,Daily,
AMICO,Men Fisherman Sandals,₹799,MRP ₹2199,(Rs. 1400 OFF),3.8,30 Ratings,"A pair of white fisherman sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned tpr outsole",Fisherman Sandals,Synthetic,Velcro,TPR,Daily,
LEONCINO,Men Comfort Sandals,₹809,MRP ₹3276,(Rs. 2467 OFF),4.3,153 Ratings,"A pair of tan comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,
LEONCINO,Men Comfort Sandals,₹809,MRP ₹3276,(Rs. 2467 OFF),4.4,18 Ratings,"A pair of black comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,
Provogue,Men Comfort Sandals,₹857,MRP ₹2859,(70% OFF),3,5 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
Liberty,Men Comfort Sandals,₹1165,MRP ₹2199,(47% OFF),4.2,51 Ratings,"A pair of tan comfort sandals
Pu upper with velcro closure
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Velcro,EVA,Daily,1 month
WIXOM,Men Comfort Sandals,₹799,MRP ₹1999,(60% OFF),3.6,5 Ratings,"A pair of black comfort sandals
Synthetic leather upper with velcro closure
Cushioned footbed
Patterned synthetic outsole",Comfort Sandals,Synthetic Leather,Velcro,Synthetic,Daily,
Provogue,Men Comfort Sandals,₹719,MRP ₹2999,(76% OFF),2.8,6 Ratings,"A pair of black comfort sandals
Synthetic leather upper with Velcro closure
Cushioned footbed
Patterned synthetic outsole",Comfort Sandals,Synthetic Leather,Velcro,Synthetic,Daily,
Sparx,Men Sports Sandals,₹729,MRP ₹999,(27% OFF),4.1,661 Ratings,"A pair of blue and grey comfort sandals
Synthetic Leather upper with velcro closure
Cushioned footbed
Patterned tpr outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",,Synthetic,Velcro,,,
Roadster,The Lifestyle Co. Men Sports Sandals,₹849,MRP ₹2499,(66% OFF),3.2,188 Ratings,"Grey solid sports sandals, secured with a velcro closure
Faux Leather upper
Cushioned footbed
Textured and patterned Rubber outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer",,Synthetic,Velcro,,,
Roadster,The Lifestyle Co Men Sports Sandals,₹899,MRP ₹4995,(82% OFF),3.8,190 Ratings,"Green solid sports sandals, secured with a velcro closure
Synthetic suede upper
Cushioned footbed
Textured and patterned TPR outsole
Warranty: 1 Months
Warranty provided by brand/manufacturer",,Synthetic,Velcro,,,
Roadster,The Lifestyle Co. Men Sports Sandals,₹849,MRP ₹2499,(66% OFF),3.2,99 Ratings,"Black solid sports sandals, secured with a velcro closure
Faux Leather upper
Cushioned footbed
Textured and patterned Rubber outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer",,Synthetic,Velcro,,,
Wildcraft,Terrano 2.0 Men Sports Sandals,₹2184,MRP ₹2299,(5% OFF),4.1,24 Ratings,"Grey solid sports sandals, secured with a velcro closure
Synthetiv upper
Cushioned footbed
Textured and patterned Rubber outsole",,Synthetic,Velcro,,,
Roadster,The Lifestyle Co. Men Sports Sandals,₹849,MRP ₹2499,(66% OFF),3.2,190 Ratings,"Tan brown solid sports sandals, secured with a velcro closure
Synthetic upper
Cushioned footbed
Textured and patterned Rubber outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer",,Synthetic,Velcro,,,
Roadster,The Lifestyle Co. Men Sports Sandals,₹910,MRP ₹3795,(76% OFF),2.8,60 Ratings,"Olive-green solid sports sandals, secured with a velcro closure
Synthetic upper
Cushioned footbed",,Synthetic,Velcro,,,
Sparx,Men Sports Sandals With Velcro Closure,₹719,MRP ₹799,(10% OFF),4.2,197 Ratings,"A pair of camel brown Sports Sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned rubber outsole",,Synthetic,Velcro,,,
Sparx,Men Sports Sandals,₹539,MRP ₹599,(10% OFF),3.7,27 Ratings,"A pair of black & red sports sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned pvc outsole",,Synthetic,Velcro,,,
ID,iD Men Black Sandals,₹1492,MRP ₹2985,(Rs. 1493 OFF),4,105 Ratings,"A pair of black comfort sandals
Synthetic Leather upper with velcro closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic Leather,Velcro,TPR,Daily,
Roadster,The Lifestyle Co Men Sports Sandals,₹999,MRP ₹4995,(80% OFF),3.4,14 Ratings,"A pair of tan-brown sports sandals, secured with Velcro closure
Synthetic suede upper
Cushioned footbed
Patterned EVA outsole
Warranty: 1 month
Warranty provided by the manufacturer",,Synthetic,Velcro,,,
Provogue,Men Comfort Sandals,₹857,MRP ₹2859,(70% OFF),3.1,15 Ratings,"A pair of blue comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
Sparx,Men Sports Sandals,₹939,MRP ₹949,(1% OFF),4.2,55 Ratings,"A pair of black sports sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned TPR outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",,Synthetic,Velcro,,,
CODE by Lifestyle,Men Comfort Sandals,₹1039,MRP ₹1299,(20% OFF),3.8,60 Ratings,"A pair of white comfort sandals
Synthetic upper with buckle closure
Cushioned footbed
Patterned synthetic outsole",Comfort Sandals,Synthetic,Buckle,Synthetic,Ethnic,
KARADDI,Men Comfort Sandals,₹879,MRP ₹1999,(56% OFF),4.1,58 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with velcro closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic Leather,Velcro,EVA,Daily,
AMICO,Men Fisherman Sandals,₹799,MRP ₹2199,(Rs. 1400 OFF),3.8,30 Ratings,"A pair of brown fisherman sandals
Syntheticupper with velcro closure
Cushioned footbed
Patterned tpr outsole",Fisherman Sandals,Synthetic,Velcro,TPR,Daily,
Roadster,The Lifestyle Co Men Grey Sandals,₹740,MRP ₹1299,(43% OFF),4.2,202 Ratings,"A pair of grey comfort sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned tpr outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Comfort Sandals,Synthetic,Velcro,TPR,Daily,1 month
Sparx,Men Sports Sandals,₹674,MRP ₹749,(10% OFF),4.4,175 Ratings,"A pair of navy blue Sportssandals
Synthetic Leather upper with velcro closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",,Synthetic,Velcro,,,
Sparx,Men Sports Sandals,₹994,MRP ₹1025,(3% OFF),4.2,99 Ratings,"A pair of grey Sports sandals
Fabric upper with velcro closure
Cushioned footbed
Patterned synthetic outsole",Sports Sandals,Synthetic,Velcro,Synthetic,Sports,
Sparx,Men Sports Sandals,₹939,MRP ₹949,(1% OFF),4.2,54 Ratings,"A pair of navy blue comfort sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned TPR outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",,Synthetic,Velcro,,,
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4,433 Ratings,"A pair of white comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Slip-On,PU,Daily,
MOZAFIA,Men Comfort Sandals,₹1099,MRP ₹2499,(56% OFF),3.9,37 Ratings,"A pair of black comfort sandals with slip-on closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,PU,Slip-On,EVA,Daily,
Big Fox,Men Comfort Sandals,₹859,MRP ₹1999,(57% OFF),3.5,22 Ratings,"A pair of beige comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,
Layasa,Men Comfort Sandals,₹699,MRP ₹999,(30% OFF),4.5,6 Ratings,"A pair of black comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic,Slip-On,TPR,Daily,
Roadster,The Lifestyle Co Men Sports Sandals,₹899,MRP ₹4995,(82% OFF),3.8,191 Ratings,"Tan brown solid sports sandals, secured with a velcro closure
Synthetic suede upper
Cushioned footbed
Textured and patterned TPR outsole
Warranty: 1 Months
Warranty provided by brand/manufacturer",,Synthetic,Velcro,,,
Kosher,Men Comfort Sandals,₹849,MRP ₹3399,(75% OFF),4.6,8 Ratings,"A pair of navy blue comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic Leather,Slip-On,TPR,Daily,
FAUSTO,Men Black Sandals,₹1156,MRP ₹1299,(11% OFF),3.8,59 Ratings,"A pair of black fisherman sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned rubber outsole",Fisherman Sandals,Synthetic,Velcro,Rubber,Daily,
San Frissco,Men Comfort Sandals,₹1348,MRP ₹4495,(70% OFF),3.6,32 Ratings,"A pair of tan comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,PU,Slip-On,PU,Daily,
John Karsun,Men Comfort Sandals,₹729,MRP ₹3649,(80% OFF),4.3,8 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned synthetic outsole",Comfort Sandals,Synthetic Leather,Slip-On,Synthetic,Daily,
Wildcraft,Men Sports Sandals,₹1515,MRP ₹1595,(5% OFF),4.1,15 Ratings,"A pair of olive green Sports sandals
Pu upper with velcro closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Sports Sandals,Synthetic,Velcro,Synthetic,Sports,
