Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Sport,Material,Fastening,Ankle Height,Outsole Type,Cleats,Pronation for Running Shoes,Arch Type,Cushioning,Running Type,Distance,Surface Type,Number of Items,Package Contains,Warranty,Technology
Sparx,Boys Mesh Running Shoes,₹934,MRP ₹1099,(15% OFF),4.3,116 Ratings,"A pair of grey shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,Air
Trenz,Kids Textured Slip-On Walking Shoes,₹779,MRP ₹1299,(40% OFF),4.9,10 Ratings,"A pair of blue  textured slip-on walking shoes, has mid-top Styling, detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand/manufacturer",Walking,Mesh,Slip-On,Mid-Top,Marking,No Cleats,,,Medium,,,All-Rounder,2,,6 months,
TRASE,Boys Mesh Marking Running Shoes,₹899,MRP ₹1499,(40% OFF),4.1,167 Ratings,"A pair of blue running shoes, has regular Styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by the brand owner/manufacturer",Running,Mesh,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Road Running,Medium,All-Rounder,,,30 days,
Power,Boys Trey JR Textured Lace-Up Walking Shoes,₹1529,MRP ₹1699,(10% OFF),4.3,6 Ratings,"A pair of navy blue,orange and white sports shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,Medium,Track,Medium,Outdoor,2,,,
Trenz,Kids Lace-Ups Running Shoes,₹899,MRP ₹1499,(40% OFF),3.5,16 Ratings,"A pair of olive green running shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Wipe with a clean, dry cloth to remove dust",Walking,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,,Medium,,,All-Rounder,2,box,6 months,
ABROS,Boys RANGER Mesh Marking Running Shoes,₹1423,MRP ₹1599,(11% OFF),4.1,71 Ratings,"A pair of grey running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,,,30 days,Air
ASIAN,Boys Running Non-Marking Memory Foam Technology Sports Shoes YODHA-04cDGRYMRN-2,₹779,MRP ₹1199,(35% OFF),4.2,53 Ratings,"A pair of Memory Foam Technology sports shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
VAN Number: YODHA-04cDGRYMRN-2",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,,,,Memory Foam
Pantaloons Junior,Girls Grey Running Non-Marking Shoes,₹719,MRP ₹899,(20% OFF),3.5,31 Ratings,"A pair of grey shoes, has regular Styling, velcro detail
PU Upper
Cushioned footbed
Textured and patterned outsole",Running,PU,Velcro,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
Pantaloons Junior,Boys Orange Textile Running Non-Marking Sports Shoes,₹739,MRP ₹999,(26% OFF),3.7,6 Ratings,"A pair of orange shoes, has mid-top Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Textile,Slip-On,Mid-Top,Non-Marking,No Cleats,,,Medium,,Medium,Outdoor,,,,
Pantaloons Junior,Boys Blue Textile Running Non-Marking Shoes,₹749,MRP ₹999,(25% OFF),4.1,8 Ratings,"A pair of blue shoes, has mid-top Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Running,Textile,Slip-On,Mid-Top,Non-Marking,No Cleats,,,Medium,,Medium,Outdoor,,,,
Liberty,Kids Textured Running Shoes,₹1124,MRP ₹1499,(25% OFF),4.5,55 Ratings,"A pair of blue shoes, has mid-top styling, velcro detail
PU upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Running,PU,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,,14 days,
Sparx,Boys Mesh Running Shoes,₹1119,MRP ₹1399,(20% OFF),4,27 Ratings,"A pair of black,orange & white shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Mesh,Lace-Ups,Regular,Marking,Fixed,,,Medium,,,Outdoor,2,,,Air
Sparx,Boys Mesh Running Shoes,₹1119,MRP ₹1399,(20% OFF),4,27 Ratings,"A pair of navy blue,white & pink shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Marking,Fixed,,,Medium,,,Outdoor,2,1 pair,,Air
Sparx,Boys Textured Lace-Up Running Shoes,₹1039,MRP ₹1299,(20% OFF),4.6,8 Ratings,"A pair of blue textured walking shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,,,
ASIAN,Boys Yodha-05 Running Shoes,₹1199,MRP ₹1999,(40% OFF),4.4,296 Ratings,"A pair of white,green and orange yodha-05 running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,2,,28 days,
ABROS,Boys Tango Running Sports Shoes,₹965,MRP ₹1049,(8% OFF),4.4,41 Ratings,"A pair of blue shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,High,Trail Running,Medium,All-Rounder,2,,30 days,Air
KazarMax,Kids Mesh Running Non-Marking Sport Shoes,₹919,MRP ₹1999,(54% OFF),4.4,38 Ratings,"A pair of blue shoes, has regular Styling, velcro detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by the brand owner/manufacturer",Running,Mesh,Velcro,Regular,Non-Marking,No Cleats,,Flat,Medium,Track,Medium,Soft,,,30 days,
Trenz,Kids Lace-Ups Running Shoes,₹899,MRP ₹1499,(40% OFF),3.5,16 Ratings,"A pair of navy blue running shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Wipe with a clean, dry cloth to remove dust",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,,6 months,
ASIAN,Boys Vayu-04 Running Shoes,₹839,MRP ₹1049,(20% OFF),4.3,117 Ratings,"A pair of black,blue and red sports shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,2,,28 days,
Pantaloons Junior,Girls Blue Textile Running Non-Marking Shoes,₹899,MRP ₹1199,(25% OFF),4,24 Ratings,"A pair of blue shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Textile,Lace-Ups,Mid-Top,Non-Marking,No Cleats,,,Medium,,Medium,Outdoor,,,,
BTUF,Kids Round Toe Cricket Shoes,₹849,MRP ₹2399,(Rs. 1550 OFF),4.4,10 Ratings,"A pair of orange-coloured shoes, has regular styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Cricket,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,Medium,Medium,Road Running,Medium,All-Rounder,2,1 pair shoes,30 days,
Pantaloons Junior,Girls Orange Textile Running Non-Marking Shoes,₹764,MRP ₹899,(15% OFF),4.5,13 Ratings,"A pair of orange shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Running,Textile,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,Long Distance,Long,Outdoor,,,,Flyknit
Pantaloons Junior,Boys Blue Textile Running Non-Marking Shoes,₹749,MRP ₹999,(25% OFF),4.3,16 Ratings,"A pair of blue shoes, has mid-top Styling, slip-on detail
Upper textile
Cushioned footbed
Textured and patterned outsole",Running,Textile,Slip-On,Mid-Top,Non-Marking,No Cleats,,,Medium,,Medium,Outdoor,,,,
Pantaloons Junior,Boys Lime Green Running Non-Marking Shoes,₹739,MRP ₹999,(26% OFF),4.3,12 Ratings,"A pair of lime green shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,PU,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
Pantaloons Junior,Girls Knitted Walking Shoes,₹799,MRP ₹999,(20% OFF),4.1,7 Ratings,"A pair of grey & white shoes, has regular styling, slip on detail
PU Upper
Cushioned footbed
Textured and patterned outsole
Knit detail",Walking,PU,Slip-On,Regular,Marking,No Cleats,,,Medium,,,Soft,2,,,
ABROS,Boys Black & Fluorescent Green Mesh Running Shoes,₹711,MRP ₹749,(5% OFF),4.8,5 Ratings,"A pair of black and fluorescent green running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,Fixed,Neutral,Medium,High,Road Running,Medium,All-Rounder,,,3 months,Air
BERSACHE,Boys Canvas Running Shoes,₹699,MRP ₹3999,(Rs. 3300 OFF),3.9,7 Ratings,"A pair of black running shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole",Running,Canvas,Lace-Ups,Regular,Marking,No Cleats,,,Low,,,Outdoor,2,pair of 1,,
ASIAN,Boys Mesh Memory Foam Running Non-Marking Shoes,₹959,MRP ₹1599,(40% OFF),3.9,87 Ratings,"A pair of shoes, has regular Styling, lace-ups detail
Upper Mesh 
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,,,28 days,Memory Foam
ASIAN,Boys Mesh Memory Foam Running Non-Marking Shoes,₹959,MRP ₹1599,(40% OFF),3.9,86 Ratings,"A pair of shoes, has regular Styling, lace-ups detail
Upper Mesh 
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,,,28 days,Memory Foam
Power,Boys Mesh Walking Sports Shoes,₹1529,MRP ₹1699,(10% OFF),4.3,6 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,Flat,Medium,,Medium,Soft,2,,,
ABROS,Boys Star-N Running Sports Shoes,₹965,MRP ₹1049,(8% OFF),4.2,35 Ratings,"A pair of navy blue running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months",Running,Mesh,Lace-Ups,Regular,Marking,Fixed,Neutral,Medium,High,Road Running,Medium,All-Rounder,2,,3 months,Air
Pantaloons Junior,Boys Olive Green Running Non-Marking Sports Shoes,₹749,MRP ₹999,(25% OFF),4,9 Ratings,"A pair of olive green sports shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Running,PU,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
Pantaloons Junior,Girls White Textile Walking Non-Marking Shoes,₹959,MRP ₹1199,(20% OFF),3.8,18 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Walking,Textile,Lace-Ups,Regular,Non-Marking,No Cleats,,,Medium,Road Running,Long,Outdoor,,,,
Pantaloons Junior,Boys Non-Marking Walking Shoes,₹1139,MRP ₹1199,(5% OFF),3.5,20 Ratings,"A pair of black & green walking shoes, has regular styling, lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Walking,Synthetic,Lace-Ups,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
Liberty,Kids Textured Running Shoes,₹1124,MRP ₹1499,(25% OFF),4.6,83 Ratings,"A pair of pink shoes, has mid-top Styling, velcro detail
PU upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Running,PU,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,set of pair,14 days,
BERSACHE,Boys Canvas Running Marking Shoes,₹699,MRP ₹3999,(Rs. 3300 OFF),3.9,7 Ratings,"A pair of navy blue running shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole",Running,Canvas,Lace-Ups,Regular,Marking,No Cleats,,,Low,,,Outdoor,2,,,
Pantaloons Junior,Girls Textile Running Shoes,₹799,MRP ₹999,(20% OFF),4.4,46 Ratings,"A pair of shoes, has regular styling, slip-on detail
Textile upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Textile,Slip-On,Regular,Marking,No Cleats,,,Medium,,,Outdoor,,,,
Pantaloons Junior,Boys Navy Blue Walking Non-Marking Shoes,₹749,MRP ₹999,(25% OFF),3.6,11 Ratings,"A pair of navy blue shoes, has regular Styling, slip-on detail
Upper PU material
Cushioned footbed
Textured and patterned outsole",Walking,PU,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,,Medium,Indoor,,,,
Pantaloons Junior,Boys Blue Textile Walking Non-Marking Shoes,₹809,MRP ₹899,(10% OFF),4.5,11 Ratings,"A pair of blue shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Walking,Textile,Slip-On,Regular,Non-Marking,No Cleats,,Medium,Medium,Road Running,,Outdoor,,,,
Sparx,Boys Textured Lace-Up Walking Shoes,₹1039,MRP ₹1299,(20% OFF),3.8,6 Ratings,"A pair of blue textured walking shoes, has regular styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,1 pair,,
Ajanta,Kids Mesh Running Shoes,₹649,MRP ₹1299,(50% OFF),3.2,5 Ratings,"A pair of blue , yellow & white shoes, has regular styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Slip-On,Regular,Marking,No Cleats,,Medium,Medium,Road Running,Medium,Outdoor,2,,30 days,
Pantaloons Junior,Girls Green Textile Walking Non-Marking Shoes,₹899,MRP ₹999,(10% OFF),3.6,5 Ratings,"A pair of green shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Walking,Textile,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,Road Running,Long,Outdoor,,,,
Ajanta,Kids Textured Slip-On Walking Shoes,₹749,MRP ₹1299,(Rs. 550 OFF),4,5 Ratings,"A pair of yellow,white and green textured walking shoes, has regular styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Walking,Mesh,Slip-On,Mid-Top,Marking,No Cleats,,Medium,Medium,Road Running,Medium,Outdoor,2,,30 days,
OFF LIMITS,Girls Mesh Running Non-Marking Lace-Up Shoes,₹1494,MRP ₹2299,(35% OFF),3.9,11 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Track,Long,Indoor,2,,30 days,
OFF LIMITS,Boys Memory Foam Technology Walking Shoes,₹1479,MRP ₹1999,(26% OFF),3.9,26 Ratings,"A pair of navy blue,white and orange walking shoes, has regular styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,,Medium,High,Track,Long,Indoor,2,,30 days,Memory Foam
OFF LIMITS,Girls Mesh Walking Non-Marking Shoes,₹1339,MRP ₹1999,(33% OFF),3.9,26 Ratings,"A pair of navy blue shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Walking,Mesh,Slip-On,Regular,Non-Marking,No Cleats,,Medium,Medium,Track,Long,Indoor,2,,30 days,
OFF LIMITS,Boys Memory Foam Technology Walking Shoes,₹999,MRP ₹1999,(50% OFF),3.9,26 Ratings,"A pair of olive green,white and orange walking shoes, has regular styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,,Medium,High,Track,Long,Indoor,2,,30 days,Memory Foam
OFF LIMITS,Girls Mesh Running Non-Marking Lace-Up Shoes,₹1494,MRP ₹2299,(35% OFF),3.9,11 Ratings,"A pair of grey shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Track,Long,Indoor,2,,30 days,
OFF LIMITS,Boys Mesh Walking Non-Marking Shoes,₹1479,MRP ₹1999,(26% OFF),3.9,26 Ratings,"A pair of grey shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Walking,Mesh,Slip-On,Regular,Non-Marking,No Cleats,,Medium,Medium,Track,Long,Indoor,2,,30 days,
Puma,Boys Black & Red Softride Rift Pop Youth Walking Shoes,₹2609,MRP ₹4499,(42% OFF),4.2,434 Ratings,"Special Technology:
SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
Product Design Details:
A pair of black and red shoes, has regular Styling, slip-on detail
Flexible sock collar for easy slip-on
Breathable knit upper with neoprene tongue
Unique elastic lacing system for additional support and lockdown
Soft, cushioned footbed
Full-length SoftRide midsole for cushioning and comfort
Zoned rubber outsole for enhanced traction
Warranty: 3 months
Warranty provided by brand/manufacturer

PRODUCT STORY
These SOFTRIDE Rift Slip-On Pop Youth Trainers make comfort fashionable and fashion functional. PUMA proudly introduces the SOFTRIDE franchise with this innovative piece. It features a full-length cushioned midsole that keeps you light on your feet while it insulates each step. The upper sports a slip-on construction with laces available for a snug and comfortable fit. Bold PUMA branding shouts our signature style. SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day. Slip-on construction Mesh upper for breathability Cushioned footbed for optimum comfort Full-length SOFTRIDE midsole for cushioning and comfort Zoned rubber outsole for enhanced traction Moulded grip tongue tab Laces available for a snug fit Webbed heel tab Bold PUMA Wordmark and graceful PUMA Cat Logo at lateral sides PUMA Youth style: Recommended for older kids between 8 and 16 years",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,,Medium,Medium,Long Distance,Long,Outdoor,,,3 months,
Nike,Jr. Tiempo Legend 10 Club Football Boot,₹3325,MRP ₹3695,(10% OFF),4.1,45 Ratings,"Product Details
Amplified touch: The moulded synthetic leather mimics a quilted sensation for improved touch.
Natural, contouring fit: The synthetic leather moulds to your foot and gives you better control, helping you stay comfortable for your match.
Traction for the pitch: The plate places conical studs in the heel for optimal traction and stability when braking and changing direction--just right under any conditions.

Even Legends find ways to evolve. Whether you're starting out or just playing for fun, the latest iteration of this Club boot gets you on the pitch without compromising on quality. The synthetic leather contours to your foot and doesn't overstretch, giving you better control. Lighter and sleeker than any other Tiempo to date, the Legend 10 is for any position on the pitch, whether you're sending a pinpoint pass through the defence or tracking back to stop a break-away.",Football,Synthetic,Lace-Ups,Mid-Top,Marking,Fixed,,,Medium,,,Outdoor,2,,,
Puma,Kids FUTURE 7 PLAY FG/AG Youth Football Boots,₹3149,MRP ₹4499,(30% OFF),4.7,11 Ratings,"Product Design Details:
A pair of blue solid round toe sports shoe with regular styling has a lace up closure
Textile upper
Cushioned footbed
Rubber outsole
Puma Wordmark on tongue and heel
Warranty: 3 Months
Warranty provided by brand/manufacturer
About The Product:

Playmakers, lock into the FUTURE. The soft upper of these boots combines a lightweight yet durable synthetic material with a stretchy collar for a supportive fit. When you wear the FUTURE, you are the FUTURE.",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,,Medium,Hard,2,,3 months,
Puma,Kids Future7 Play FG/AG Youth Football Boots,₹3149,MRP ₹4499,(30% OFF),4.2,9 Ratings,"Product Design Details:
A pair of green solid round toe sports shoe with regular styling has a slip on up closure
Textile upper
Cushioned footbed
Rubber outsole
Puma Wordmark on tongue and heel
Warranty: 3 Months
Warranty provided by brand/manufacturer
About The Product:

Playmakers, lock into the FUTURE. The soft upper of these boots combines a lightweight yet durable synthetic material with a stretchy collar for a supportive fit. When you wear the FUTURE, you are the FUTURE. Go create.",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,,Medium,Hard,1,,3 months,
Puma,ATTACANTO TT Kids Youth Football Shoes,₹2099,MRP ₹2999,(30% OFF),4.8,6 Ratings,"Product Design Details:
A pair of Green printed round toe regular sports shoes with regular styling has a lace-up closure
Synthetic upper
Cushioned footbed
Rubber outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer
About The Product:

: A simple, no-nonsense boot built to meet your demands on the pitch, the ATTACANTO is built with a soft upper for enhanced touch and ball control. The lightweight outsole will have you sprinting and changing direction with absolute ease",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,,Medium,Turf Trainer,2,,3 months,
Puma,Unisex Kids Textured Soft Enzo Evo Slip-On Running Shoes,₹2799,MRP ₹3999,(30% OFF),4.3,14 Ratings,"Special Technology:
SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day.
Product Design Details:
A pair of red textured road running shoes, has regular styling, slip-on detail
Textile upper
Cushioned footbed
Textured and patterned rubber outsole
EVA midsole
Printed PUMA Wordmark on the strap
PUMA Kids: Recommended for kids between 4 and 8 years.
Warranty: 3 months
Warranty provided by the Brand/Manufacturer
About The Product:
Stand out from the crowd in these slip-on sneakers, which combine the very best of our Softride and Enzo lines. Theyre easy to slide on and off and they offer extreme cushioning for all-day comfort.",Running,Textile,Slip-On,Regular,Marking,No Cleats,Neutral,Flat,Medium,Road Running,,All-Rounder,2,,3 months,
Paragon,Girls Disney Shoes DK8012K,₹549,MRP ₹999,(45% OFF),4.4,25 Ratings,"A pair of pink shoes, has velcro detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Velcro,Regular,Non-Marking,No Cleats,,,Medium,Track,,Outdoor,2,1 pair walking shoes,30 days,
toothless,Boys White Sports Shoes,₹569,MRP ₹1899,(70% OFF),4.2,38 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Walking,Synthetic,Lace-Ups,Regular,Marking,No Cleats,,Medium,Medium,,,Outdoor,,,,
Puma,Girls SOFT Sophia Running Shoes,₹3239,MRP ₹4499,(28% OFF),4.3,64 Ratings,"Special Technologies
CMEVA: PUMA's compression-moulded EVA material for lightweight performance
SoftFoam+: PUMA's comfort sock liner for instant step-in and long-lasting comfort that provides soft cushioning with every step of your day
Product Design Details: 
A pair of black running shoes, has regular styling, lace-up detail
Textile upper
Low-boot construction
Cushioned footbed for optimum step-in comfort
Cushioned midsole for comfort
Zoned non-marking rubber outsole pods for grip
Synthetic cage lacing system for optimum fit
PUMA Wordmark on tongue
PUMA Cat Logo on lateral side
Warranty: 3 months 
Warranty provided by brand owner/manufacturer
About Puma SOFT Sophia Kids' Running Shoes
Say hello to the Softride Sophia Trainers from PUMA's trusted Softride range. In these adorable shoes, your kid can explore in style without compromising on comfort. PUMA's compression-moulded EVA material in the midsole will support their feet, while our SoftFoam+ sock liner provides cushioning for every step of their day. Zoned rubber pods on the outsole will prevent them from slipping. Featuring an attractive silhouette and bold PUMA Cat Logo branding, these eye-catching kicks will introduce your kid to the future of casual-cool street style.",Running,Textile,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,Medium,Medium,Road Running,Long,All-Rounder,,,3 months,
Puma,Kids ULTRA PLAY Youth Indoor Court Shoes,₹3014,MRP ₹4499,(33% OFF),4.7,7 Ratings,"PRODUCT DESIGN DETAILS:
Closure: Lace-Up
Midsole drop: Regular
Main materials: Synthetic, Rubber
Product color: Black
Lightweight yet durable PU upper enhanced with deboss and print details
Regular tongue construction fits various foot shapes
Low-profile non-marking rubber indoor outsole
IT: Indoor Training outsole
PUMA Youth
Warranty: 3 Months
Warranty provided by Brand Owner/Manufacturer
PRODUCT STORY :
Just when they think you couldnt get any faster you do. the ultra play jr features a lightweight yet durable synthetic upper enhanced with deboss and print details. Ultra is too fast for them.",Football,Synthetic,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,Medium,,Medium,Indoor,2,1 pair of sports shoes,3 months,
Puma,Kids Reflect Lite Masked Hero Youth Sneakers,₹3599,MRP ₹3999,(10% OFF),4.5,43 Ratings,"FEATURES & BENEFITS:
The upper of the shoes is made with at least 50% recycled materials
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
PRODUCT DESIGN DETAILS:
A pair of black, red detail round toe running shoes with regular styling has a slip on closure
Synthetic upper
Elastic laces
Textile lining
SoftFoam+ sockliner
Rubber outsole
Warranty: 3 Months
Warranty provided by Brand Owner/Manufacturer
PRODUCT STORY:
The Reflect Lite is PUMA's most exciting new performance essential shoe, highlighted by our new foam Technology PumaLite. PUMALite is an ultra-lightweight foam compound that features at least 10% recycled EVA content. The upper features a fresh execution of our Formstrip branding and a supportive cage design element. This lightweight running shoe is sure to have you putting you foot forward on your next run chasing bad villain thanks to its graphics with lightning bolts, masks, and other heroic details, and energetic colors for little superheroes everywhere.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Neutral,,Medium,Road Running,Medium,All-Rounder,2,,3 months,
BIRDE,Boys Non-Marking Walking Sports Shoes,₹599,MRP ₹999,(Rs. 400 OFF),4,81 Ratings,"A pair of navy blue sports shoes, has regular Styling, slip-on detail
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Slip-On,Regular,Non-Marking,No Cleats,,Medium,Medium,,,Soft,,,,
max,Boys Slip-On Walking Shoes,₹639,MRP ₹799,(20% OFF),4.4,10 Ratings,"A pair of navy blue shoes, has regular styling, slip-on detail
Upper pu
Cushioned footbed
Textured and patterned outsole",Walking,PU,Slip-On,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,1 pair,,
BAESD,Kids Mesh Walking Shoes,₹441,MRP ₹1299,(66% OFF),3.8,10 Ratings,"A pair of black shoes, has mid-top Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Slip-On,Mid-Top,Marking,No Cleats,,Medium,Medium,Road Running,,Soft,2,1 pair of shoes,,
