Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Sport,Material,Fastening,Ankle Height,Outsole Type,Cleats,Arch Type,Cushioning,Warranty,Distance,Surface Type,Technology,Number of Items,Pronation for Running Shoes,Running Type,Package Contains
Nike,Women Downshifter 11 Running Shoes,₹3116,MRP ₹3995,(22% OFF),4.4,5.4k Ratings,"Design Details:
A pair of cream-coloured running shoes, has regular Styling, lace-ups detail
Padded tongue is connected to the upper's inner lining for a secure feel
Stitched midfoot design tightens around your foot when you lace up, providing support through the arch and lateral midfoot
Foam midsole delivers a responsive, cushioned feel
Soft foam in the heel provides comfort and support to stay locked in on your runs
Flex grooves on outsole help your foot move naturally
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand/manufacturer

Product Story:
The Nike Downshifter 11 gives you lightweight, flexible support to keep you going. It continues the same soft cushioning from the last version and adds more support around the midfoot to make it comfortable to wear long after your workout.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,Medium,6 months,,All-Rounder,,2,Neutral,,
HRX by Hrithik Roshan,Women Running Shoes,₹1403,MRP ₹3599,(61% OFF),4.2,22 Ratings,"A pair of blue & pink running shoes has regular Styling, lace-ups detail
Synthetic Upper
Quik Foam Lite Cushioning 
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,30 days,Medium,Hard,Memory Foam,2,Neutral,Road Running,2 Casual Shoes
Campus,Women Mesh Walking Non-Marking Shoes,₹1299,MRP ₹1999,(35% OFF),4.5,132 Ratings,"A pair of pink shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,2,Neutral,Road Running,
ADIDAS,Women Woven Design Brace Walk Shoes,₹3899,MRP ₹5999,(35% OFF),4.1,19 Ratings,"Special Technology:
Cloudfoam
Product Design Detail:
Main material: Mesh upper / Synthetic outsole
Brand colour: CBLACK/SOLRED
Woven design
Brand logo detail
Classic 3 striped detail
Slip-on closure
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer

About ADIDAS Women Woven Design Brace Walk Shoes:
Built for running. Revitalized for style. Sharp and simple, meet clean and laceless. These adidas running-inspired shoes have a textile upper and elastic straps for a minimalist look. The snug, sock-like feel keeps you light on your feet. Cut what's unnecessary, keep the attitude.",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,Cloudfoam,2,,,A pair of shoes
Campus,Women Mesh Running Shoes,₹1424,MRP ₹1499,(5% OFF),4.5,238 Ratings,"A pair of grey running shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,2,Neutral,Road Running,1 pair of shoes
Nike,Women Revolution 6 Running Shoes,₹2882,MRP ₹3695,(22% OFF),4.4,8.6k Ratings,"Features
A pair of blue running shoes, has regular styling, lace-up detail
Mesh upper
Flexible cushioned footbed
Rubber outsole 
A foam midsole delivers a softer ride
Textured and patterned outsole
Intuitive touch points at the heel and tongue create a natural feel
Warranty: 6 months
Warranty provided by Brand/Manufacturer
About The Shoes
Set the pace at the start of your running journey with the plush feel of the Nike Revolution 6 Next Nature. We know comfort is key to a successful run, so we made sure your steps are cushioned and flexible for a soft ride. It's an evolution of a favorite, with a breathable design made with at least 20% recycled content by weight. Simple Design Plush mesh is placed along the collar for a comfortable feel. Additional skins throughout add durability. More Flexibility A foam midsole delivers a softer ride than the Revolution 5. The outsole has a computer-generated design that creates a natural piston effect as you run, providing more cushioning and flexibility",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,6 months,Long,All-Rounder,,2,Neutral,Road Running,
HRX by Hrithik Roshan,Women Pink Mesh Running Sports Shoes,₹929,MRP ₹2999,(69% OFF),4.3,10.5k Ratings,"A pair of pink shoes, has regular Styling, lace-ups detail
mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,Medium,30 days,Long,Indoor,,2,,Track,
Reebok,Women Meet Greet Walk Walking Shoes,₹2159,MRP ₹3599,(40% OFF),4.5,35 Ratings,"PRODUCT DESIGN DETAILS:
A pair of black with logo printed detail round toe sports shoes with regular styling has a lace-up closure
Synthetic upper
Cushioned footbed
Rubber outsole
EVA midsole
ABOUT THE PRODUCT:
These Walking Shoes Have Our Soft And Comfortable Ventilar Mould And Offer A True Fashion Look Without Sacrificing Comfort The Zoned Outsole Pods Boost Traction While The Outsole Is Made With Mild Training Movements In Mind Prepare To Head Outside And Start Walking.",Walking,Synthetic,Lace-Ups,Regular,Marking,No Cleats,,Medium,,,All-Rounder,,2,,,
Nike,Women Grey Quest 4 PRM Running Shoes,₹3397,MRP ₹6795,(50% OFF),4.5,326 Ratings,"Features:
A pair of grey running shoes, has regular Styling, lace-ups detail
Mesh upper
The lightweight and minimal upper features a breathable mesh at the forefoot
Cushioned footbed
The Flywire cables around the midfoot work with the laces to provide more support as you tighten them
Textured and patterned outsole
Taller foam cushioning is soft yet durable with every step
Warranty: 6 months
Warranty provided by Brand/Manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,6 months,Medium,All-Rounder,,,Neutral,Road Running,
Duke,Women Textile Walking Shoes,₹1278,MRP ₹3195,(60% OFF),4.1,23 Ratings,"A pair of pink shoes, has regular styling, slip-on detail
Upper textile
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand manufacturer",Walking,Textile,Slip-On,Regular,Marking,No Cleats,Medium,High,30 days,Medium,Outdoor,Free,2,Neutral,Track,1 pair of shoes
HRX by Hrithik Roshan,Women Black Walk Ride Running Shoes,₹1364,MRP ₹3899,(65% OFF),4.4,2k Ratings,"The Lifestyle Shoes from the Flex Street Series sports a modern design and high performance materials that make any kind of activity easier.

Features
Upper is Constructed with knitted fabric.
Cushion collar provides ankle support.
Flexible EVA Sole makes the shoes more comfortable & light weight.
Cup shaped insole gives additional support and comfort.
Weight: Lightweight
Fastening : Lace up
Fit: Comfort
Warranty: 3 months against manufacturing defects only
Warranty provided by brand/ manufacturer",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,,Neutral,,
Nike,Women Winflo 10 Textured Road Running Sports Shoes,₹6086,MRP ₹8695,(30% OFF),4.5,473 Ratings,"Product Design Details:
A pair of black textured with logo printed detail round toe sports shoes with regular styling has a lace-up closure
PU upper
Cushioned footbed
PU outsole
About The Product:

A balanced ride to help kick-start your run, the Winflo 10 is great whether you're a creature of habit logging your weekly mileage, a rookie hoping to turn intrigue into routine or just joining a friend for a spontaneous weekend run. A neutral support shoe with springy Nike Air, plus more space in the forefoot, leads to a comfortable, bouncy feel. It's ready-made for your run, whenever the road is calling your name.",Running,Synthetic,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,Medium,,Medium,Outdoor,Air,1,,Road Running,
CULT,Unisex Firebird Running Shoes,₹2089,MRP ₹5499,(62% OFF),4.4,436 Ratings,"Features:

AIRFLOW-ENHANCED UPPER: The upper is made of engineered and lightweight mesh which improves airflow and provides breathability so your feet can stay cool and comfortable with every move.

COMPRESSED EVA MIDSOLE: The EVA midsole makes these shoes not only lightweight and highly cushioned but also flexible, ensuring stability during your runs and everyday wear.

DECOUPLED HEEL: The scientifically designed decoupled heel in the outsole is engineered to absorb shock efficiently and ensure a seamless transition as your heel makes contact with the pavement.

DURABLE OUTSOLE: Crafted from premium carbon rubber, the outsole ensures durability while providing enhanced grip and exceptional traction.

FLEXIBLE: The design is remarkably flexible, ensuring your feet move freely and naturally. It delivers superb grip, so you stay steady without slipping. The 8mm heel-to-toe drop offers additional comfort and support to your feet as you run.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,3 months,Medium,All-Rounder,,2,Neutral,,
ASIAN,Women Mesh Running Non-Marking Shoes,₹679,MRP ₹999,(32% OFF),4,1.5k Ratings,"A pair of shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,High,28 days,,All-Rounder,Memory Foam,,Neutral,Road Running,
Reebok,Women Woven Design Z Metro Edge Running Shoes,₹2149,MRP ₹4299,(50% OFF),4.2,130 Ratings,"Special Technologies:
Memory foam
Product Design Details:
Main material: Synthetic upper/Rubber outsole
Brand color: Navy blue 
Woven upper design
Lace-up closure
Warranty: 3 months
Warranty provided by Brand/Manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,Memory Foam,,Neutral,,
Skechers,Women MAX CUSHIONING LITE-SWEETWAYS Walking Shoes,₹4899,MRP ₹6999,(30% OFF),4.6,17 Ratings,"SPECIAL TECHNOLOGIES:
Goga Mat Technology
PRODUCT DESIGN DETAILS:
A pair of black solid round toe sports shoes with regular styling has a slip-on closure
Textile upper
Cushioned footbed
Rubber outsole
An engineered jacquard mesh upper
Warranty: 3 months
Warranty provided by brand/manufacturer
ABOUT THE PRODUCT:
Add more cushioned comfort and response with the skechers max cushioning lite . a cushioned comfort design on an ultra go cushioned platform.",Walking,Textile,Slip-On,Regular,Non-Marking,No Cleats,Medium,Medium,3 months,,All-Rounder,Goga Mat,2,,,
DOCTOR EXTRA SOFT,Women Slip-On Walking Non-Marking Shoes,₹799,MRP ₹1999,(Rs. 1200 OFF),4.4,591 Ratings,"A pair of grey shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Walking,Canvas,Slip-On,Regular,Non-Marking,No Cleats,Medium,High,,Medium,Outdoor,Memory Foam,2,,Long Distance,
Puma,Unisex Smash Sprint Printed Sports Shoes,₹2249,MRP ₹4999,(55% OFF),4.2,4.5k Ratings,"FEATURES & BENIFITS:
Rapid-dry
 Textile upper,
Non-marking rubber outsole.
Suitable for use on indoor surfaces.
Low boot,
Lace closure,
Variofoam for a lightweight cushioning sensation,
Variomesh provides superb breathability and comfort,
Stability frame for lateral and medial support,
PUMA cat logo branding.

Product Design Details:
A pair of blue printed with logo printed detail round toe sports shoes with regular styling has a lace up closure
Mesh upper
Cushioned footbed
Rubber outsole


PRODUCT STORY :

Ready for the smash? Experience the revolution of Variofoam, offering a lightweight cushion that propels you to leap and lunge with ease. The Variomesh upper envelopes your feet in unparalleled breathability and comfort, keeping you cool as the match heats up. Designed with a non-marking outsole for flawless movement and a stability frame that delivers exceptional lateral and medial support, these shoes are the ultimate ally in every intense rally. Details:- Heel type: Flat, Shoe width: Regular fit, Shoe pronation: Neutral, Heel-to-toe-drop: 0 mm, Textile upper, Non-marking rubber outsole. Suitable for use on indoor surfaces.Low boot, Lace closure, Variofoam for a lightweight cushioning sensation, Variomesh provides superb breathability and comfort, Stability frame for lateral and medial support, PUMA cat logo branding.",Badminton,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,3 months,Medium,Indoor,,2,Neutral,,
ADIDAS,Unisex SHIFT RUN Running Shoes,₹4199,MRP ₹5999,(30% OFF),4.3,340 Ratings,"Product Design Details:
A pair of round toe black and white running shoes. has regular styling 
Lace-up detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand/manufacturer
ABOUT THE PRODUCT:
The easier your run feels, the farther you can go. These adidas running shoes cushion your stride with a lightweight EVA midsole. They're designed to deliver a smooth ride that enhances forward momentum so that every kilometre feels as good as the one before. The comfy mesh upper rides on an Adiwear outsole for optimum durability and grip.Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Long,Hard,,2,,Road Running,
HRX by Hrithik Roshan,Women Mesh Running Non-Marking Sports Shoes,₹1119,MRP ₹3999,(72% OFF),4.3,288 Ratings,"A pair of green shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,Medium,14 days,Medium,All-Rounder,,2,,Road Running,
DOCTOR EXTRA SOFT,Women Slip-On Walking Non-Marking Shoes,₹799,MRP ₹1999,(Rs. 1200 OFF),4.4,595 Ratings,"A pair of black shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Walking,Canvas,Slip-On,Regular,Non-Marking,No Cleats,Medium,High,,Medium,Outdoor,Memory Foam,2,,Long Distance,
HRX by Hrithik Roshan,Women Woven Design Running Shoes,₹1590,MRP ₹3699,(57% OFF),4.8,8 Ratings,"A pair of black woven design running shoes, has regular styling, lace-up closure
Upper synthetic 
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,A pair of shoes
BOLDFIT,Unisex Black Mesh Badminton Non-Marking Shoes,₹1595,MRP ₹4199,(62% OFF),4.4,16 Ratings,"A pair of black shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Badminton,Mesh,Lace-Ups,Mid-Top,Non-Marking,No Cleats,Medium,Medium,,Medium,Court,,2,,Road Running,1 pair
ASIAN,Women PARADISE Memory Foam Running Shoes,₹689,MRP ₹999,(31% OFF),4,772 Ratings,"A pair of white , lavender & sea green running shoes , has regular styling, lace-ups detail
Synthetic Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer
Memory foam technology",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,28 days,Medium,All-Rounder,Memory Foam,2,Neutral,Road Running,pair
Campus,Women Mesh Running Sports Shoes,₹1124,MRP ₹1499,(25% OFF),4.3,101 Ratings,"A pair of sports shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Waranty provided by seller/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
HRX by Hrithik Roshan,Women Woven Design Walking Shoes,₹755,MRP ₹2799,(73% OFF),4,84 Ratings,"A pair of sea green walking shoes
Has regular styling
Slip-on detail
Synthetic woven design upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by the brand owner/ manufacturer",Walking,Synthetic,Slip-On,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,1 pair of shoes
Reebok,Women Woven Design Damshal Renew Training or Gym Shoes,₹1979,MRP ₹3299,(40% OFF),4.4,548 Ratings,"Special technologies:
Memory tech foam 
Product Design Details
Main material: Synthetic upper/ Rubber outsole
Brand Colour: Pink
Woven design 
Lace-up closure
Warranty: 6 months
Warranty provided by Brand/Manufacturer",Training or Gym,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,6 months,,Court,Memory Foam,,,,
HRX by Hrithik Roshan,Women Woven Design Go-Lite Walking Shoes,₹749,MRP ₹2999,(75% OFF),4.1,103 Ratings,"A pair of lavender walking shoes
Has regular styling
Slip-on detail
Synthetic woven design upper
Cushioned footbed
Textured and patterned outsole
Engineered with Go-lite technology for smooth walk
Warranty: 3 months
Warranty provided by the brand owner/ manufacturer",Walking,Synthetic,Slip-On,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,1 pair of shoes
Quechua By Decathlon,Women Navy Blue Hiking Shoes NH100,₹1279,MRP ₹1699,(Rs. 420 OFF),4.4,352 Ratings,"Our designers have developed these NH100 boots to wear on occasional hikes in the lowlands, forests or coast, in dry weather.. Our motivation? To offer you comfortable and lightweight shoes that guarantee good traction on any off-road footpaths on relatively flat terrain. All at a very affordable price!",Trekking,PU,Lace-Ups,Regular,Non-Marking,Fixed,Medium,Medium,2 years,Long,All-Rounder,,,Neutral,Long Distance,
HRX by Hrithik Roshan,Women Black And Pink Memory Foam Non-Marking Running Shoes,₹1331,MRP ₹3699,(64% OFF),4.1,1.2k Ratings,"A pair of black,pink and white sports shoes, has regular styling, lace-up detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,Fixed,Medium,High,30 days,Long,Indoor,Memory Foam,,,Track,
Sparx,Women Navy Blue Running Shoes,₹799,MRP ₹999,(20% OFF),4.4,1.1k Ratings,"A pair of navy blue running shoes, has regular styling
Mesh upper
Cushioned footbed
Textured and patterned EVA outsole
Warranty: 30 days against manufacturing defect only
Warranty provided by the brand owner / manufacturer",Running,Mesh,Slip-On,Regular,Non-Marking,Fixed,Medium,Medium,30 days,Long,Outdoor,,,,Long Distance,
ASIAN,Women Blossom-07 Running Shoes,₹714,MRP ₹1299,(45% OFF),4.1,76 Ratings,"A pair of white and grey running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,High,28 days,,All-Rounder,,2,Neutral,Road Running,
HRX by Hrithik Roshan,Women Walk Lite Shoes,₹749,MRP ₹2999,(75% OFF),4.4,48 Ratings,"Features:
A pair of blue walking shoes, has regular styling
Fastening: Slip-on
Fit: Comfort
Cushioned footbed
TPR sole for better traction & durability.
Warranty: 3 months
Warranty provided by the brand owner/ manufacturer",Walking,Synthetic,Slip-On,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,1 casual shoes
Campus,Women Pink Mesh Running Sports Shoes,₹1804,MRP ₹1899,(5% OFF),4.4,3.4k Ratings,"A pair of pink shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
Skechers,Women Textured Go Run 400 Trail Running Shoes,₹2249,MRP ₹4499,(50% OFF),4.6,630 Ratings,"Special Technologies:
5GEN midsole material delivers comfort and response
5th Generation technology delivers energy return at an even lighter weight
Goga Run(r) insole provides shock absorption and support
Comfortable lightweight and well ventilated upper design
Sole with GOimpulse sensors for responsive traction and ground feel
Biometric midsole construction for support and stability
Product Design Details:
A pair of navy blue trail running shoes, has regular styling, lace-up detail
Breathable sandwich mesh fabric and synthetic upper
Cushioned footbed
Textured and patterned rubber outsole
Layered mesh for comfort and breathability
Synthetic overlays at sides and heel for added support
Side S logo detail
Quick-Fit Portal at heel for added easy wear
Ideal for recreational and training runs
Warranty: 3 months
Warranty to be provided by the brand/manufacturer
About The Product:
Keep your run light, comfortable and well cushioned with the Skechers GOrun 400 shoe. 5GEN midsole combines with a biometric design and breathable mesh upper for an advanced yet lightweight run.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Soft,,2,Neutral,Trail Running,one
Puma,Women Softride Harmony Running Shoes,₹4199,MRP ₹5999,(30% OFF),4.4,18 Ratings,"Special Technologies
SOFTRIDE: Soft foam designed for all-day cushioning and comfort
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Product Design Details
A pair of burgundy running shoes, has regular styling, lace-ups detail
Textile upper
Cushioned footbed
Textured and patterned rubber outsole
Midsole: SOFTRIDE foam
PUMA wordmark across the upper
Product Colour: Midnight Plum-Rose Gold-PUMA Black
Warranty: 3 months
Warranty provided by the brand/manufacturer

About the Puma Womens' SOFTRIDE Harmony Running Shoes
The SOFTRIDE Harmony is a women-specific everyday light trainer designed to help women attack their whole day. With our SOFTRIDE foam midsole, this do-anything trainer has all-day comfort. The upper features a laced closure and a design that's an evolution rather than a reimagining. Feminine. Simple. Functional. The upper of the shoes is made with at least 20% recycled materials.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Medium,Hard,,2,Neutral,Road Running,1 pair of sports shoes
Sparx,Women Slip-On Walking Shoes,₹849,MRP ₹999,(15% OFF),4.2,255 Ratings,"A pair of grey shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Textile,Slip-On,Regular,Non-Marking,No Cleats,,Medium,,,All-Rounder,,2,,,
Sparx,Women Mesh Walking Shoes,₹919,MRP ₹1149,(20% OFF),4.4,27 Ratings,"A pair of grey shoes, has regular Styling, slip-on detail
Upper material: Mesh
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Slip-On,Regular,Marking,No Cleats,,Medium,,,All-Rounder,,2,,Long Distance,1 pair
Skechers,Women Go Run 400 Running Shoes,₹2249,MRP ₹4499,(50% OFF),4.6,630 Ratings,"Special Technology:
5GEN midsole material delivers comfort and response
Goga Run insole provides shock absorption and support
Features:
A pair of charcoal grey & pink running shoes, has regular Styling, lace-ups detail
Mesh Upper
Breathable sandwich mesh fabric and synthetic upper
Comfortable lightweight and well ventilated upper design
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by Brand/Manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Soft,,2,,,one
Campus,Women Olivia Non-Marking Running Sports Shoes,₹1349,MRP ₹1799,(25% OFF),4.4,1.4k Ratings,"SPECIAL TECHNOLOGY:
Highlight your style quotient with the amazing olivia from campus. Made of superior quality knitted upper, these cool lace-ups feature a comfortable design that provides breathability, and a perfect shaped tip along with phylon sole for flexibility. The foam insole provides comfortable movement to your feet and the non-abrasive feature ensures optimum surface traction.

PRODUCT DESIGN DETAILS:
A pair of white & purple sports shoes, has regular styling, lace-ups detail
Textile upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Textile,Lace-Ups,Regular,Non-Marking,Fixed,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
Sparx,Women Mesh Walking Shoes,₹799,MRP ₹999,(20% OFF),4.3,70 Ratings,"A pair of rust shoes, has regular Styling, slip-on detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,,Medium,,,All-Rounder,,2,,Road Running,
VECTOR X,Unisex Badminton Non-Marking Shoes,₹1189,MRP ₹1699,(30% OFF),4,10 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Badminton,Synthetic,Lace-Ups,Regular,Non-Marking,No Cleats,,High,,,Court,,2,,,Pair of Shoes
ADIDAS,Unisex Copa Pure II League Turf Football Shoes,₹5199,MRP ₹7999,(35% OFF),4.4,34 Ratings,"Product design details:
Main material: Synthetic and Leather Upper/ Rubber outsole
Brand color: Shadow Red / Cloud White / Team Solar Yellow 2
Adidas 3 stripe detail on the sides
Soft synthetic upper with leather forefoot
Rubber outsole for artificial turf
Warranty: 3 months
Warranty provided by brand/manufacturer
ADIDAS Copa Pure II League Turf Football Shoes
To truly run a game, you need to keep your teammates close and the ball closer. Find the freedom to conduct play in comfortable, classy adidas Copa Pure II. Boasting heritage details and leather forefoot, these football boots look and feel iconic. The lug rubber outsole keeps your play stylish on artificial turf.This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Medium,Low,3 months,,Hard,,2,,,1 pair of shoes
HRX by Hrithik Roshan,Women Mesh Running Non-Marking Shoes,₹1119,MRP ₹3999,(72% OFF),4.2,226 Ratings,"A pair of blue shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by the brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,Medium,14 days,Medium,All-Rounder,,2,Neutral,Road Running,1 pair
Campus,Women Off White Mesh Running Shoes,₹1825,MRP ₹2199,(17% OFF),4.3,248 Ratings,"A pair of off white shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Mid-Top,Marking,No Cleats,Medium,Medium,30 days,Medium,All-Rounder,,,Neutral,Road Running,
HRX by Hrithik Roshan,Women Textured Walking Shoes,₹1291,MRP ₹3799,(66% OFF),4.1,982 Ratings,"A pair of off white & blue textured shoes, has regular styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Slip-On,Regular,Non-Marking,Fixed,Medium,Medium,30 days,Long,Indoor,,2,,,1 pair of shoes
Sparx,Women Mesh Walking Shoes,₹879,MRP ₹1099,(20% OFF),4.3,148 Ratings,"A pair of grey,white & pink  shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,Medium,,,All-Rounder,,2,,Road Running,
ADIDAS,Unisex Woven Design Round-Toe Game Spec 2 Tennis Shoes with Striped Detail,₹3899,MRP ₹5999,(35% OFF),4.4,31 Ratings,"Special Technologies:
Bounce midsole
Product Design Details:
Main material: Mesh upper/ rubber outsole
Brand colour: Core Black / Cloud White / Better Scarlet
Woven design
Classic 3-stripe detail
Regular fit
Lace-up closure
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by the brand owner/ manufacturer
About ADIDAS Unisex Woven Design Round-Toe Game Spec 2 Tennis Shoes with Striped Detail
Let your game shine through in these Court Spec 2 tennis shoes from adidas. With a rubber, all-court outsole and flexible Bounce midsole, these lightweight shoes provide solid performance on any surface. Breathable mesh and synthetic overlays team up for a classic-looking upper that'll keep you comfortable through intense rallies. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Tennis,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,Bounce,2,Neutral,,1 pair of shoes
HRX by Hrithik Roshan,Women Running Shoes,₹1367,MRP ₹3599,(62% OFF),4.1,37 Ratings,"Features:
A pair of teal blue running shoes, has regular styling, lace-ups detail
Synthetic Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,30 days,Medium,Hard,,2,Neutral,Road Running,2 Casual Shoes
Puma,Women Flyer Flex V2 Running Shoes,₹2474,MRP ₹4499,(45% OFF),4,162 Ratings,"Special Technologies
SoftFoam+: PUMAs comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
Features
A pair of black running shoes, has regular styling, lace-ups detail
Textile upper
Cushioned footbed
Textured and patterned outsole
Textile upper provides breathability
Low boot construction with lace closure for optimal fit
PUMA Formstrip on lateral side
PUMA cat logo branding
Ideal for road & treadmill running
Product Design Details
Product Colour: PUMA Black-Puma Team Gold
Warranty: 3 months
Warranty provided by brand/manufacturer
About the Puma Women Flyer Flex V2 Running Shoes
Embrace the sprint with PUMA's Flyer Flex V2 Women's Running Shoes. Engineered for speed and agility, these shoes feature a lightweight textile upper and a grip-enhanced rubber outsole, perfect for pounding the pavement or tackling urban trails. The sleek, classic design is boosted by PUMA's distinctive branding, while the adaptive lace closure mirrors your every move",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Medium,All-Rounder,,2,Neutral,Road Running,1 pair of running shoes
