Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Heel Type,Type,Heel Height,Fastening and Back Detail,Toe Shape,Pattern,Ornamentation,Ankle Height,Occasion,Sole Material,Warranty
Van Heusen,Slim Heel Mules with Bow Detail,₹2174,MRP ₹2899,(25% OFF),4.2,30 Ratings,"A pair of pink mules, has regular ankle and backstrap with slip-on closure
PU solid upper with bow detail
Cushioned footbed
Textured and patterend outsole
Has a slim heel",Slim,Mules,3 inches,Backstrap,Pointed Toe,Solid,Bows,Regular,Casual,Resin,
Lavie,Strappy Open Toe Wedge Heels,₹799,MRP ₹2499,(68% OFF),3.6,358 Ratings,"A pair of cream-coloured open toe wedge heels
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand owner/manufacturer",Wedge,Sandals,2 inches,Open Back,Open Toe,Solid,,Regular,Casual,Resin,
Mast & Harbour,Peach Coloured Strappy Open Toe Block Heels,₹799,MRP ₹2999,(Rs. 2200 OFF),3.9,166 Ratings,"A pair of peach-coloured strappy block heels ,has regular ankle and back strap with buckle
Synthetic leather upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Sandals,2 inches,Backstrap,Open Toe,Solid,,Regular,Casual,PVC,1 month
Mochi,Black Wedge Pumps,₹1194,MRP ₹1990,(40% OFF),4.2,529 Ratings,"A pair of black pumps ,has regular ankle and closed back
Synthetic solid upper
Cushioned footbed
Textured and patterend outsole, has a wedge
Warranty: 1 month",Wedge,Pumps,2 inches,Closed Back,Round Toe,Solid,,Regular,Casual,PU,1 month
Shoetopia,Women Ethnic One Toe Wedge Heels,₹799,MRP ₹1999,(60% OFF),4.1,231 Ratings,"A pair of cream-coloured one toe wedge heels, has regular ankle and open back
Synthetic woven design upper with ethnic - embellished
Cushioned footbed
Textured and patterend outsole, has a wedge",Wedge,Sandals,1.5 inches,Open Back,Open Toe,Woven Design,Ethnic - Embellished,Regular,Ethnic,PU,
Shezone,Open Toe Embellished Platform Heels,₹999,MRP ₹1999,(50% OFF),4.3,527 Ratings,"A pair of camel brown heels ,has regular ankle and ankle loop
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a platform heels 
Warranty: 30 days 
Warranty provided by brand owner/manufacturer",Platform,Sandals,4 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,PVC,1 month
Mochi,Textured T-Strap Wedge Heels,₹1494,MRP ₹2490,(40% OFF),4.2,90 Ratings,"A pair of rose gold-toned and beige textured t-strap wedge heels,has regular ankle and open back
Synthetic upper 
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,5 inches,Open Back,Open Toe,Textured,,Regular,Casual,PU,1 month
Mochi,Peach-Coloured Kitten Sandals,₹1014,MRP ₹1690,(40% OFF),4.3,1.4k Ratings,"A pair of peach-coloured sandals ,has regular ankle and open back
Synthetic solid upper with other
Cushioned footbed
Textured and patterend outsole, has a kitten
Warranty: 1 month",Kitten,Sandals,2 inches,Open Back,Square Toe,Solid,,Regular,Casual,Resin,1 month
Marc Loire,Square Toe Block Heel Pumps,₹1497,MRP ₹1895,(21% OFF),4.2,40 Ratings,"A pair of black square toe pumps block heels,has regular ankle and closed back
Pu upper
Cushioned footbed
Textured and patterned outsole",Block,Pumps,2 inches,Closed Back,Square Toe,Solid,,Regular,Casual,Rubber,
Inc 5,Braided Ethnic One Toe Flatform Heels,₹1743,MRP ₹2490,(30% OFF),4,10 Ratings,"A pair of gold-toned heels ,has regular styling with open back 
Synthetic textured with ethnic- embellished 
Cushioned footbed
Textured and patterned TPR outsole,flattform heels",Flatform,Sandals,2.5 inches,Open Back,Open Toe,Textured,Ethnic - Embellished,Regular,Casual,TPR,
Metro,Women Black Solid Block Heels,₹968,MRP ₹1490,(35% OFF),4.3,572 Ratings,"A pair of black open-toed heels, has regular styling, slingback detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a block heel
Warranty: No warranty",Block,Sandals,3 inches,Backstrap,Open Toe,Solid,,Regular,Casual,Synthetic,
AXIUM,Embellished Party Block Sandals,₹1599,MRP ₹3499,(Rs. 1900 OFF),4.4,8 Ratings,"A pair of beige sandals ,has regular ankle and open back
Synthetic patent embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a block",Block,Sandals,3.5 inches,Open Back,Square Toe,Embellished,Western - Embellished,Regular,Party,Rubber,
Carlton London,Textured Open Toe Block Heels,₹1319,MRP ₹2199,(40% OFF),3.4,11 Ratings,"A pair of gold-toned heels ,has regular ankle and backstraps
Synthetic textured upper
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 15 days
Warranty provided by brand/manufacturer",Block,Sandals,2.5 inches,Backstrap,Open Toe,Textured,,Regular,Casual,Resin,15 days
Chere,Embellished Open Toe Wedge Heels,₹1749,MRP ₹2499,(30% OFF),4.2,79 Ratings,"A pair of beige embellished open toe wedge heels ,has regular ankle and open back
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Wedge,Sandals,2 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Party,Synthetic,
Shezone,Embellished Open Toe Block Heels,₹1499,MRP ₹1999,(25% OFF),4.5,11 Ratings,"A pair of peach-coloured sandals ,has regular ankle and open back
Synthetic embellished upper
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Sandals,2 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,Rubber,1 month
Mast & Harbour,Textured Party Block Sandals,₹899,MRP ₹2999,(Rs. 2100 OFF),3.8,44 Ratings,"A pair of copper-toned mules ,has regular ankle and backstrap
Synthetic embellished upper with other
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month",Block,Sandals,2 inches,Open Back,Square Toe,Embellished,,Regular,Party,PVC,1 month
Mochi,Pink Embellished Party Kitten Heels With Backstrap,₹1494,MRP ₹2490,(40% OFF),4.5,105 Ratings,"A pair of pink heels ,has regular ankle and backstrap
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a kitten heels 
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Kitten,Sandals,2 inches,Backstrap,Open Toe,Embellished,Ethnic - Embellished,Regular,Party,Resin,1 month
Shoetopia,Braided Strap Block Heels,₹799,MRP ₹1999,(60% OFF),4.2,675 Ratings,"A pair of gold-toned braided strap block heels,has regular ankle and open back
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Block,Sandals,2 inches,Open Back,Open Toe,Textured,,Regular,Ethnic,Resin,
Anouk,women Comfort Sandals with Laser Cut,₹699,MRP ₹1999,(Rs. 1300 OFF),4.3,9 Ratings,"A pair of beige sandals ,has regular ankle and open back
Synthetic solid upper with laser cuts
Cushioned footbed
Textured and patterend outsole, has a comfort",Comfort,Sandals,3 inches,Open Back,Open Toe,Solid,Laser Cuts,Regular,Casual,PVC,
H&M,Block-Heeled Sandals,₹1649,MRP ₹2199,(25% OFF),4.4,110 Ratings,"Sandals with covered block heels, square toes and intertwined foot straps.",Block,Peep Toes,2 inches,Open Back,Square Toe,Solid,Laser Cuts,High-Top,Party,TPU,
Metro,Solid Wedge Heels With Open Back,₹1094,MRP ₹1990,(45% OFF),4.4,786 Ratings,"A pair of pink heels,has regular ankle and open back
Synthetic solid upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a wedge
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Wedge,Sandals,3 inches,Open Back,Open Toe,Solid,Western - Embellished,Regular,Casual,PU,1 month
Melange by Lifestyle,Embellished Block Heels,₹1519,MRP ₹1899,(20% OFF),3.9,19 Ratings,"A pair of Gold embellished block heels
Upper Material: Synthetic 
Cushioned footbed
Synthetic outsole",Block,Sandals,1 inch,Open Back,Round Toe,Embellished,,Mid-Top,Casual,Synthetic,
Mochi,Women Coffee Brown Solid Wedges,₹1194,MRP ₹1990,(40% OFF),4.4,3.6k Ratings,"A pair of coffee brown open toe Wedges, has regular styling, open back detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has Wedgesheels
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,4 inches,Open Back,Open Toe,Solid,,Regular,Casual,PU,1 month
ELLE,Embellished Open Toe Flatform Heels,₹939,MRP ₹1999,(53% OFF),3.6,151 Ratings,"A pair of black & gold toned heels ,has regular ankle and open back
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a flatform heels 
Warranty: 15 days
Warranty provided by brand owner/manufacturer",Flatform,Sandals,1.5 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,TPR,15 days
Mochi,Women Rose Gold Solid Sandals,₹1014,MRP ₹1690,(40% OFF),4.1,424 Ratings,"A pair of rose gold open toe sandals, has regular styling, open back detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a block heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Sandals,2.5 inches,Open Back,Open Toe,Solid,,Regular,Ethnic,Resin,1 month
DressBerry,Women Black Braided Mid-Top Slim Heels,₹1536,MRP ₹2899,(47% OFF),4.3,144 Ratings,"A pair of black braided open-toed slim heels, has mid-top styling, ankle loop detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a slim heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Slim,Sandals,3.5 inches,Ankle Loop,Open Toe,Woven Design,,Mid-Top,Casual,TPR,1 month
Shoetopia,Square Toe Buckle Detail Wedge Heel Pumps,₹1289,MRP ₹2999,(57% OFF),3.8,304 Ratings,"A pair of white square toe buckle detail wedge heel pumps ,has regular ankle and closed back
Synthetic patent upper
Cushioned footbed
Textured and patterned outsole",Wedge,Pumps,2.5 inches,Closed Back,Square Toe,Solid,Buckles,Regular,Casual,TPR,
Mochi,Women Black Solid Heels,₹1194,MRP ₹1990,(40% OFF),4.4,3.6k Ratings,"A pair of black open toe heels, has regular styling, open back detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a wedge heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,4 inches,Open Back,Open Toe,Solid,Buckles,Regular,Casual,PU,1 month
Denill,Textured Pointed Toe Block Heels,₹999,MRP ₹2499,(60% OFF),3.9,113 Ratings,"A pair of silver-toned textured pointed toe block heels ,has regular ankle and backstrap
Synthetic patent upper
Cushioned footbed
Textured and patterned outsole",Block,Sandals,2.5 inches,Backstrap,Pointed Toe,Textured,,Regular,Casual,TPR,
T.ELEVEN,Open Toe Suede Block Heels,₹1099,MRP ₹2499,(Rs. 1400 OFF),4.3,92 Ratings,"A pair of black open toe solid block heels ,has regular ankle and ankel loop
Suede upper with other
Cushioned footbed
Textured and patterend outsole, has a block",Block,Sandals,3 inches,Ankle Loop,Open Toe,Solid,,Regular,Casual,Neolite,
Shezone,Embellished Platform Heels With Backstrap,₹999,MRP ₹1999,(50% OFF),4.3,228 Ratings,"A pair of gold-toned heels ,has regular ankle and backstrap 
Synthetic embellished upper with western - embellished 
Cushioned footbed
Textured and patterend outsole, has a platfom heels 
Warranty: 1 Month
Warranty provided by brand owner/manufacturer",Platform,Sandals,4 inches,Backstrap,Open Toe,Embellished,Ethnic - Embellished,Regular,Casual,PVC,1 month
DressBerry,Black Cross Strap Platform Heels With Buckles,₹999,MRP ₹2199,(Rs. 1200 OFF),4.5,49 Ratings,"A pair of black heels ,has regular ankle and backstrap 
Synthetic leather solid upper
Cushioned footbed
Textured and patterend outsole, has a platfom heels 
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Platform,Sandals,3 inches,Backstrap,Open Toe,Solid,,Regular,Casual,PU,1 month
DressBerry,Embellished Open Toe Block Heels,₹579,MRP ₹1999,(71% OFF),4,257 Ratings,"A pair of cream-coloured open tope heels, has regular ankle and open back detail
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a block",Block,Pumps,2.5 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Party,Synthetic,
Anouk,Women Embroidered One Toe Block Heels,₹899,MRP ₹2499,(64% OFF),4.1,149 Ratings,"A pair of peach-coloured pumps ,has mid-top ankle and open back
Pu woven design upper with ethnic - embellished
Cushioned footbed
Textured and patterend outsole, has a block",Block,Pumps,2.5 inches,Open Back,Open Toe,Woven Design,Ethnic - Embellished,Mid-Top,Ethnic,TPR,
Sherrif Shoes,Embellished Pointed Toe Slim Heel Mules,₹1437,MRP ₹2995,(52% OFF),4.2,97 Ratings,"A pair of black embellished pointed toe slim heel mules ,has regular ankle and backstrap
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Slim,Mules,3 inches,Backstrap,Pointed Toe,Embellished,Western - Embellished,Regular,Ethnic,Rubber,
DressBerry,Silver-Toned Embellished Open Toe Block Heels,₹999,MRP ₹2999,(Rs. 2000 OFF),4,40 Ratings,"A pair of silver-toned sandals ,has regular ankle and backstraps
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a block",Block,Sandals,2 inches,Backstrap,Open Toe,Embellished,Western - Embellished,Regular,Casual,Resin,
Shoetopia,Women Black Solid Heels,₹699,MRP ₹999,(30% OFF),4.1,1.5k Ratings,"A pair of black solid open toed heels, has a regular styling with backstrap detail
Synthetic embellished upper with other
Cushioned footbed
Textured and patterend outsole, has a block heel",Block,Sandals,1.5 inches,Backstrap,Open Toe,Solid,,Regular,Casual,TPR,
Allen Solly,Textured Open Toe Block Heel,₹1816,MRP ₹2299,(21% OFF),4.4,34 Ratings,"A pair of pink heel, has regular ankle and open back
PU textured upper
Cushioned footbed
Textured and patterend outsole
Has a block heel
Warranty: 6 months
Warranty provided by the brand owner/ manufacturer",Block,Sandals,2.5 inches,Open Back,Open Toe,Textured,,Regular,Casual,Resin,6 months
Shoetopia,Mid Top Striped Block Heels With Zip Closure,₹899,MRP ₹1999,(55% OFF),4,361 Ratings,"A pair of white heels ,has mid-top ankle and zip closed back 
Synthetic patent striped upper 
Cushioned footbed
Textured and patterend outsole, has a block heels",Block,Sandals,2 inches,Closed Back,Open Toe,Striped,,Mid-Top,Casual,Resin,
Shezone,Embellished Block Heels,₹999,MRP ₹1999,(50% OFF),4.2,406 Ratings,"A pair of rose gold-toned embellished block heels ,has regular ankle and open back
Synthetic upper 
Cushioned footbed
Textured and patterned outsole",Block,Peep Toes,2.5 inches,Open Back,Peep Toe,Embellished,Western - Embellished,Regular,Party,Rubber,1 month
T.ELEVEN,Suede Open Toe Block Heel Gladiators,₹1099,MRP ₹2499,(Rs. 1400 OFF),4.2,83 Ratings,"A pair of black open toe block heel gladiators, has regular ankle and backstrap
Suede upper 
Cushioned footbed
Textured and patterend outsole, has a block",Block,Gladiators,2.5 inches,Backstrap,Open Toe,Solid,Western - Embellished,Regular,Casual,Neolite,
Shezone,Women Embellishment Ethnic Block Mules,₹1099,MRP ₹1999,(45% OFF),4.4,36 Ratings,"A pair of peach-coloured mules ,has regular ankle and open back
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a block heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Mules,2 inches,Open Back,Pointed Toe,Embellished,Western - Embellished,Regular,Ethnic,Rubber,1 month
Metro,Printed Wedge Peep Toes,₹1194,MRP ₹1990,(40% OFF),4.4,179 Ratings,"A pair of beige peep toes ,has regular ankle and open back
Synthetic printed upper with other
Cushioned footbed
Textured and patterend outsole, has a wedge
Warranty: 1 month
Warranty provided by brand/manufacturer ",Wedge,Peep Toes,3 inches,Open Back,Open Toe,Printed,,Regular,Casual,PU,1 month
Metro,Embellished Block Mules,₹1094,MRP ₹1990,(45% OFF),4.1,467 Ratings,"A pair of mules ,has regular ankle and open back
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Mules,2 inches,Open Back,Square Toe,Embellished,Western - Embellished,Regular,Casual,Resin,1 month
Carlton London,Women Embellished Party Block Sandals,₹1439,MRP ₹2399,(40% OFF),4,25 Ratings,"A pair of pink sandals,has regular ankle and ankle loop
Synthetic embellished upper 
Cushioned footbed
Textured and patterend outsole, has a block heel
Warranty: 15 days
Warranty provided by brand/manufacturer",Block,Sandals,2 inches,Ankle Loop,Open Toe,Embellished,Western - Embellished,Regular,Party,Resin,15 days
Metro,Black Wedge Sandals with Buckles,₹1374,MRP ₹2290,(40% OFF),4.2,1.4k Ratings,"A pair of black sandals ,has regular ankle and backstrap
Synthetic solid upper with buckles
Cushioned footbed
Textured and patterend outsole, has a wedge
Warranty: 1 month",Wedge,Sandals,3.5 inches,Backstrap,Open Toe,Solid,Buckles,Regular,Casual,PU,1 month
Mochi,Women Grey Embellished Wedges,₹1094,MRP ₹1990,(45% OFF),4.2,2.1k Ratings,"A pair of grey open toe heels, has regular styling, open back detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a wedge heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,1.5 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,Rubber,1 month
VENDOZ,Open Toe Casual Wedges,₹529,MRP ₹999,(47% OFF),4,181 Ratings,"A pair of cream-colored open toe wedge heels
Upper Material: synthetic leather
Cushioned footbed
TPR outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,1 inch,Backstrap,Open Toe,Solid,,Regular,Casual,TPR,1 month
Shoetopia,Embellished Open Toe Block Heels,₹1199,MRP ₹2999,(60% OFF),4.2,153 Ratings,"A pair of gold-toned sandals ,has regular ankle and ankle loop
Synthetic embellished upper 
Cushioned footbed
Textured and patterend outsole, has a block",Block,Sandals,5 inches,Ankle Loop,Open Toe,Embellished,Western - Embellished,Regular,Casual,Resin,
DressBerry,Black Strappy Block Heels,₹899,MRP ₹3999,(Rs. 3100 OFF),4.1,95 Ratings,"A pair of black strappy block heels ,has regular ankle and open back
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Sandals,4 inches,Open Back,Open Toe,Solid,,Regular,Party,PVC,1 month
Denill,Round Toe Block Pumps,₹859,MRP ₹1999,(57% OFF),3.9,254 Ratings,"A pair of brown block ,has regular ankle and closed back styling
Synthetic solid upper 
Cushioned footbed
Textured and patterend outsole, has a block",Block,Pumps,2.5 inches,Closed Back,Round Toe,Solid,,Regular,Casual,TPR,
House of Pataudi,Strappy Slim Heel,₹1154,MRP ₹3499,(67% OFF),4.2,15 Ratings,"A pair of cream-coloured and gold-toned heels ,has regular ankle and ankle loop
Synthetic upper
Cushioned footbed
Textured and patterend outsole, has a slim heel",Slim,Sandals,3.5 inches,Ankle Loop,Pointed Toe,Solid,,Regular,Casual,TPR,
DressBerry,Black Open Toe Stiletto Heels,₹1099,MRP ₹2999,(Rs. 1900 OFF),3.7,663 Ratings,"A pair of black sandals ,has regular ankle and ankle loop
Synthetic solid upper 
Cushioned footbed
Textured and patterend outsole, has a Stiletto",Stiletto,Sandals,3 inches,Ankle Loop,Open Toe,Solid,,Regular,Casual,Resin,
Lavie,Open Toe Block Heels With Buckles,₹1399,MRP ₹3999,(Rs. 2600 OFF),4,100 Ratings,"A pair of rose gold pumps ,has mid-top ankle and backstrap
Synthetic solid upper with buckles
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month",Block,Sandals,3 inches,Ankle Loop,Round Toe,Solid,,Mid-Top,Casual,PVC,1 month
Metro,Black Wedge Sandals,₹1094,MRP ₹1990,(45% OFF),4.3,180 Ratings,"A pair of black sandals ,has regular ankle and open back
Synthetic solid upper with buckles
Cushioned footbed
Textured and patterned outsole, has a wedge
Warranty: 1 month",Wedge,Sandals,3 inches,Open Back,Open Toe,Solid,Buckles,Regular,Casual,PU,1 month
Mochi,Embellished Wedge Heels,₹1374,MRP ₹2290,(40% OFF),4.1,346 Ratings,"A pair of heels,has regular ankle and open back
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterned outsole, has a wedge
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,4 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,Resin,1 month
Mast & Harbour,Beige Textured Pointed Toe Block Heeled Pumps,₹899,MRP ₹2999,(Rs. 2100 OFF),3.9,220 Ratings,"A pair of beige pumps ,open back
Synthetic textured upper 
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Pumps,2 inches,Open Back,Pointed Toe,Textured,,Regular,Casual,PVC,1 month
Shoetopia,Embellished Cross Strap Party Block Heels,₹899,MRP ₹1999,(55% OFF),4,214 Ratings,"A pair of rose gold heels ,has regular ankle and open back 
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a block heels",Block,Sandals,2.5 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Party,Resin,
Shezone,Embellished Wedge Heels,₹1499,MRP ₹2999,(50% OFF),4.3,78 Ratings,"A pair of rose gold-toned embellished wedge heels,has regular ankle and open back
Synthetic upper 
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Wedge,Sandals,5 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Party,PU,1 month
MOSAC,Platform Women Sandals,₹749,MRP ₹1499,(50% OFF),4,52 Ratings,"A pair of white sandals ,has regular ankle and open back
Synthetic leather solid upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a platform",Platform,Sandals,2.5 inches,Open Back,Square Toe,Solid,Western - Embellished,Regular,Casual,PVC,
OPHELIA,Embellished Flatform Heels,₹649,MRP ₹1199,(Rs. 550 OFF),4,1.1k Ratings,"A pair of black and gold-toned embellished flatform heels,has regular ankle and open back
Synthetic leather upper 
Cushioned footbed
Textured and patterned outsole",Flatform,Sandals,2 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,PVC,
Shezone,Pointed Toe Closed Back Stiletto Pumps,₹1499,MRP ₹2999,(50% OFF),4,158 Ratings,"A pair of beige pumps ,has regular ankle and closed back
Synthetic solid upper
Cushioned footbed
Textured and patterend outsole, has a stiletto
Warranty: 1 month
Warranty is provided by brand owner/manufacture",Stiletto,Pumps,4 inches,Closed Back,Pointed Toe,Solid,,Regular,Casual,Rubber,1 month
Marc Loire,Pointed Toe Block Heels With Ankle Loop,₹1199,MRP ₹2399,(50% OFF),4.3,3.3k Ratings,"A pair of black heels ,has regular ankle and ankle loop
Synthetic leather solid upper 
Cushioned footbed
Textured and patterend outsole, has a block heels",Block,Sandals,2.5 inches,Ankle Loop,Pointed Toe,Solid,,Regular,Casual,Rubber,
JM Looks,Printed Party Block Mules,₹997,MRP ₹1995,(50% OFF),4.2,135 Ratings,"A pair of maroon mules ,has regular ankle and lace-ups
Synthetic printed upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month",Block,Mules,3 inches,Lace-Ups,Pointed Toe,Printed,Western - Embellished,Regular,Party,Resin,1 month
DressBerry,Silver-Toned Knotted Textured Open Toe Wedges,₹899,MRP ₹2999,(70% OFF),4.1,381 Ratings,"A pair of silver-toned & brown heels ,has regular ankle and open back
Synthetic textured upper 
Cushioned footbed
Textured and patterend outsole, has a wedges",Wedge,Sandals,3 inches,Open Back,Open Toe,Textured,,Regular,Casual,Resin,
Lavie,Textured Kitten Sandals,₹909,MRP ₹3499,(74% OFF),4.4,10 Ratings,"A pair of black sandals ,has regular ankle and open back
Synthetic leather textured upper with other
Cushioned footbed
Textured and patterend outsole, has a kitten",Kitten,Sandals,3 inches,Open Back,Open Toe,Textured,,Regular,Casual,Synthetic,
Shoetopia,Women Black Solid Sandals,₹799,MRP ₹999,(20% OFF),4.2,772 Ratings,"A pair of black point toe sandals, has regular styling, ankle loop detail
Suede upper
Cushioned footbed
Textured and patterned outsole, has a block heel",Block,Sandals,2.5 inches,Ankle Loop,Pointed Toe,Solid,Buckles,Regular,Casual,Resin,
Metro,Black Embellished Block Heels,₹1259,MRP ₹2290,(45% OFF),4.2,362 Ratings,"A pair of black sandals ,has regular ankle and backstrap
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month",Block,Sandals,3 inches,Backstrap,Open Toe,Embellished,Western - Embellished,Regular,Casual,PU,1 month
Mochi,Embellished Open Toe Kitten Heels,₹1488,MRP ₹2290,(35% OFF),4.8,17 Ratings,"A pair of gold-toned sandals ,has regular ankle and backstraps
Synthetic embellished upper with western- embellished
Cushioned footbed
Textured and patterend outsole, has a kitten
Warranty: 1 month
Warranty provided by brand/manufacturer",Kitten,Sandals,2 inches,Backstrap,Open Toe,Embellished,Western - Embellished,Regular,Casual,Resin,1 month
DressBerry,Black Textured Block Heeled Pumps,₹1099,MRP ₹2999,(Rs. 1900 OFF),4.1,125 Ratings,"A pair of black textured block heeled pumps ,has regular ankle and closed back
Synthetic leather upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Pumps,2 inches,Closed Back,Pointed Toe,Textured,,Regular,Casual,PVC,1 month
Mast & Harbour,Synthetic Block Heel Sandals,₹899,MRP ₹2999,(Rs. 2100 OFF),4.3,84 Ratings,"A pair of black sandals ,has regular ankle and ankle loop
Synthetic embellished upper with ethnic - embellished
Cushioned footbed
Textured and patterend outsole, has a block
Warranty:NA
Warranty provided by brand owner/manufacturer",Block,Sandals,3 inches,Open Back,Open Toe,Solid,,Regular,Party,Resin,
Roadster,The Lifestyle Co. Black Textured Pointed Toe Block Heel Mules,₹999,MRP ₹2499,(60% OFF),4.2,1.3k Ratings,"A pair of black solid textured block heel mules, has backstrap fastening details
Synthetic Leather upper
Cushioned footbed
Rubber sole material
Block heeled",Block,Mules,3 inches,Backstrap,Pointed Toe,Textured,,Regular,Casual,Rubber,
Mochi,Embellished Open Toe Block Heels,₹1614,MRP ₹2690,(40% OFF),4.5,247 Ratings,"A pair of gold-toned heels ,has regular ankle and open back
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a block heels 
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Block,Sandals,3 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,Resin,1 month
Mast & Harbour,White Open Toe Block Heels,₹899,MRP ₹2499,(Rs. 1600 OFF),4.3,41 Ratings,"A pair of white open toe  block heels ,has regular ankle and open back
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Block,Sandals,2 inches,Open Back,Open Toe,Solid,,Regular,Casual,Resin,
Denill,Printed Pointed Toe Kitten Heeled Pumps,₹999,MRP ₹2499,(60% OFF),4,932 Ratings,"A pair of red & beige pumps ,has regular ankle and backstraps
Synthetic patent printed upper
Cushioned footbed
Textured and patterend outsole, has a kitten heels",Kitten,Pumps,1 inch,Backstrap,Pointed Toe,Printed,,Regular,Casual,TPR,
Monrow,Open Toe Backstrap Wedges,₹1891,MRP ₹2199,(14% OFF),4,48 Ratings,"A pair of cream-coloured open toe wedges, has regular ankle and backstrap
Pu upper 
Cushioned footbed
Textured and patterend outsole, has a flatform
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,2.5 inches,Backstrap,Open Toe,Solid,Buckles,Regular,Casual,PU,1 month
Mochi,Embellished Open Toe Flatform Heels,₹1618,MRP ₹2490,(35% OFF),4.2,59 Ratings,"A pair of beige sandals ,has regular ankle and open back
Synthetic embellished upper with western- embellished
Cushioned footbed
Textured and patterend outsole, has a flatform
Warranty: 1 month
Warranty provided by brand/manufacturer",Flatform,Sandals,1.5 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,PU,1 month
